Sequence	RepeatType	Strain	Species	Gene	Allele	SeqID	Position
o14_nwd3__PaZp.R10_947	o14	PaZp	anserina	nwd3	nwd3	947	6
o8_nwd3__PaZp.R10_948	o8	PaZp	anserina	nwd3	nwd3	948	7
o22_nwd3__PaZp.R10_949	o22	PaZp	anserina	nwd3	nwd3	949	8
o14_nwd3__PaZp.R10_950	o14	PaZp	anserina	nwd3	nwd3	950	9
o8_nwd3__PaZp.R10_951	o8	PaZp	anserina	nwd3	nwd3	951	10
o3_nwd3__PaZp.R10_952	o3	PaZp	anserina	nwd3	nwd3	952	11
o12_nwd3__PaZp.R10_953	o12	PaZp	anserina	nwd3	nwd3	953	12
o4_nwd3__PaTgp_954	o4	PaTgp	anserina	nwd3	nwd3	954	1
o5_nwd3__PaTgp_955	o5	PaTgp	anserina	nwd3	nwd3	955	2
o4_nwd3__PaTgp_956	o4	PaTgp	anserina	nwd3	nwd3	956	3
o6_nwd3__PaTgp_957	o6	PaTgp	anserina	nwd3	nwd3	957	4
o6_nwd3__PaYp_958	o6	PaYp	anserina	nwd3	nwd3	958	1
o4_nwd3__Podan2_959	o4	PaSp	anserina	nwd3	nwd3	959	1
o5_nwd3__Podan2_960	o5	PaSp	anserina	nwd3	nwd3	960	2
o23_nwd3__Podan2_961	o23	PaSp	anserina	nwd3	nwd3	961	3
o3_nwd3__Podan2_962	o3	PaSp	anserina	nwd3	nwd3	962	4
o5_nwd3__Podan2_963	o5	PaSp	anserina	nwd3	nwd3	963	5
q1_nwd5__PaWa21m_964	q1	PaWa21m	anserina	nwd5	nwd5	964	1
q2_nwd5__PaWa21m_965	q2	PaWa21m	anserina	nwd5	nwd5	965	2
q3_nwd5__PaWa21m_966	q3	PaWa21m	anserina	nwd5	nwd5	966	3
q4_nwd5__PaWa21m_967	q4	PaWa21m	anserina	nwd5	nwd5	967	4
q5_nwd5__PaWa21m_968	q5	PaWa21m	anserina	nwd5	nwd5	968	5
q3_nwd5__PaWa21m_969	q3	PaWa21m	anserina	nwd5	nwd5	969	6
q4_nwd5__PaWa21m_970	q4	PaWa21m	anserina	nwd5	nwd5	970	7
q6_nwd5__PaWa21m_971	q6	PaWa21m	anserina	nwd5	nwd5	971	8
q1_nwd5__PaWa28m_972	q1	PaWa28m	anserina	nwd5	nwd5	972	1
q2_nwd5__PaWa28m_973	q2	PaWa28m	anserina	nwd5	nwd5	973	2
q3_nwd5__PaWa28m_974	q3	PaWa28m	anserina	nwd5	nwd5	974	3
q4_nwd5__PaWa28m_975	q4	PaWa28m	anserina	nwd5	nwd5	975	4
q5_nwd5__PaWa28m_976	q5	PaWa28m	anserina	nwd5	nwd5	976	5
q3_nwd5__PaWa28m_977	q3	PaWa28m	anserina	nwd5	nwd5	977	6
q4_nwd5__PaWa28m_978	q4	PaWa28m	anserina	nwd5	nwd5	978	7
q6_nwd5__PaWa28m_979	q6	PaWa28m	anserina	nwd5	nwd5	979	8
q7_nwd5__PaWa46p_980	q7	PaWa46p	anserina	nwd5	nwd5	980	1
q8_nwd5__PaWa46p_981	q8	PaWa46p	anserina	nwd5	nwd5	981	2
q9_nwd5__PaWa46p_982	q9	PaWa46p	anserina	nwd5	nwd5	982	3
q10_nwd5__PaWa46p_983	q10	PaWa46p	anserina	nwd5	nwd5	983	4
q11_nwd5__PaWa46p_984	q11	PaWa46p	anserina	nwd5	nwd5	984	5
q12_nwd5__PaWa46p_985	q12	PaWa46p	anserina	nwd5	nwd5	985	6
q12_nwd5__PaWa46p_986	q12	PaWa46p	anserina	nwd5	nwd5	986	7
q10_nwd5__PaWa46p_987	q10	PaWa46p	anserina	nwd5	nwd5	987	8
q13_nwd5__PaWa46p_988	q13	PaWa46p	anserina	nwd5	nwd5	988	9
q14_nwd5__PaWa46p_989	q14	PaWa46p	anserina	nwd5	nwd5	989	10
q7_nwd5__PaWa53m_990	q7	PaWa53m	anserina	nwd5	nwd5	990	1
q15_nwd5__PaWa53m_991	q15	PaWa53m	anserina	nwd5	nwd5	991	2
q16_nwd5__PaWa53m_992	q16	PaWa53m	anserina	nwd5	nwd5	992	3
q17_nwd5__PaWa53m_993	q17	PaWa53m	anserina	nwd5	nwd5	993	4
q18_nwd5__PaWa53m_994	q18	PaWa53m	anserina	nwd5	nwd5	994	5
q19_nwd5__PaWa53m_995	q19	PaWa53m	anserina	nwd5	nwd5	995	6
q20_nwd5__PaWa53m_996	q20	PaWa53m	anserina	nwd5	nwd5	996	7
q18_nwd5__PaWa53m_997	q18	PaWa53m	anserina	nwd5	nwd5	997	8
q21_nwd5__PaWa53m_998	q21	PaWa53m	anserina	nwd5	nwd5	998	9
q22_nwd5__PaWa53m_999	q22	PaWa53m	anserina	nwd5	nwd5	999	10
q23_nwd5__PaWa53m_1000	q23	PaWa53m	anserina	nwd5	nwd5	1000	11
q16_nwd5__PaWa53m_1001	q16	PaWa53m	anserina	nwd5	nwd5	1001	12
q17_nwd5__PaWa53m_1002	q17	PaWa53m	anserina	nwd5	nwd5	1002	13
q18_nwd5__PaWa53m_1003	q18	PaWa53m	anserina	nwd5	nwd5	1003	14
q19_nwd5__PaWa53m_1004	q19	PaWa53m	anserina	nwd5	nwd5	1004	15
q20_nwd5__PaWa53m_1005	q20	PaWa53m	anserina	nwd5	nwd5	1005	16
q18_nwd5__PaWa53m_1006	q18	PaWa53m	anserina	nwd5	nwd5	1006	17
q21_nwd5__PaWa53m_1007	q21	PaWa53m	anserina	nwd5	nwd5	1007	18
q22_nwd5__PaWa53m_1008	q22	PaWa53m	anserina	nwd5	nwd5	1008	19
q12_nwd5__PaWa53m_1009	q12	PaWa53m	anserina	nwd5	nwd5	1009	20
q18_nwd5__PaWa53m_1010	q18	PaWa53m	anserina	nwd5	nwd5	1010	21
q1_nwd5__PaWa58m_1011	q1	PaWa58m	anserina	nwd5	nwd5	1011	1
q4_nwd5__PaWa58m_1012	q4	PaWa58m	anserina	nwd5	nwd5	1012	2
q3_nwd5__PaWa58m_1013	q3	PaWa58m	anserina	nwd5	nwd5	1013	3
q4_nwd5__PaWa58m_1014	q4	PaWa58m	anserina	nwd5	nwd5	1014	4
q5_nwd5__PaWa58m_1015	q5	PaWa58m	anserina	nwd5	nwd5	1015	5
q3_nwd5__PaWa58m_1016	q3	PaWa58m	anserina	nwd5	nwd5	1016	6
q4_nwd5__PaWa58m_1017	q4	PaWa58m	anserina	nwd5	nwd5	1017	7
q6_nwd5__PaWa58m_1018	q6	PaWa58m	anserina	nwd5	nwd5	1018	8
q1_nwd5__PaWa63p_1019	q1	PaWa63p	anserina	nwd5	nwd5	1019	1
q2_nwd5__PaWa63p_1020	q2	PaWa63p	anserina	nwd5	nwd5	1020	2
q3_nwd5__PaWa63p_1021	q3	PaWa63p	anserina	nwd5	nwd5	1021	3
q2_nwd5__PaWa63p_1022	q2	PaWa63p	anserina	nwd5	nwd5	1022	4
q3_nwd5__PaWa63p_1023	q3	PaWa63p	anserina	nwd5	nwd5	1023	5
q4_nwd5__PaWa63p_1024	q4	PaWa63p	anserina	nwd5	nwd5	1024	6
q5_nwd5__PaWa63p_1025	q5	PaWa63p	anserina	nwd5	nwd5	1025	7
q3_nwd5__PaWa63p_1026	q3	PaWa63p	anserina	nwd5	nwd5	1026	8
q4_nwd5__PaWa63p_1027	q4	PaWa63p	anserina	nwd5	nwd5	1027	9
q6_nwd5__PaWa63p_1028	q6	PaWa63p	anserina	nwd5	nwd5	1028	10
q1_nwd5__PaWa87p_1029	q1	PaWa87p	anserina	nwd5	nwd5	1029	1
q24_nwd5__PaWa87p_1030	q24	PaWa87p	anserina	nwd5	nwd5	1030	2
q3_nwd5__PaWa87p_1031	q3	PaWa87p	anserina	nwd5	nwd5	1031	3
q4_nwd5__PaWa87p_1032	q4	PaWa87p	anserina	nwd5	nwd5	1032	4
q6_nwd5__PaWa87p_1033	q6	PaWa87p	anserina	nwd5	nwd5	1033	5
q1_nwd5__PaWa100p_1034	q1	PaWa100p	anserina	nwd5	nwd5	1034	1
q2_nwd5__PaWa100p_1035	q2	PaWa100p	anserina	nwd5	nwd5	1035	2
q3_nwd5__PaWa100p_1036	q3	PaWa100p	anserina	nwd5	nwd5	1036	3
q4_nwd5__PaWa100p_1037	q4	PaWa100p	anserina	nwd5	nwd5	1037	4
q5_nwd5__PaWa100p_1038	q5	PaWa100p	anserina	nwd5	nwd5	1038	5
q3_nwd5__PaWa100p_1039	q3	PaWa100p	anserina	nwd5	nwd5	1039	6
q4_nwd5__PaWa100p_1040	q4	PaWa100p	anserina	nwd5	nwd5	1040	7
q6_nwd5__PaWa100p_1041	q6	PaWa100p	anserina	nwd5	nwd5	1041	8
q25_nwd5__PaWa137m_1042	q25	PaWa137m	anserina	nwd5	nwd5	1042	1
q8_nwd5__PaWa137m_1043	q8	PaWa137m	anserina	nwd5	nwd5	1043	2
q26_nwd5__PaWa137m_1044	q26	PaWa137m	anserina	nwd5	nwd5	1044	3
q27_nwd5__PaWa137m_1045	q27	PaWa137m	anserina	nwd5	nwd5	1045	4
q25_nwd5__PaWa137m_1046	q25	PaWa137m	anserina	nwd5	nwd5	1046	5
q28_nwd5__PaWa137m_1047	q28	PaWa137m	anserina	nwd5	nwd5	1047	6
q29_nwd5__PaWa137m_1048	q29	PaWa137m	anserina	nwd5	nwd5	1048	7
q30_nwd5__PaWa137m_1049	q30	PaWa137m	anserina	nwd5	nwd5	1049	8
q31_nwd5__PaWa137m_1050	q31	PaWa137m	anserina	nwd5	nwd5	1050	9
q25_nwd5__PaWa137m_1051	q25	PaWa137m	anserina	nwd5	nwd5	1051	10
q32_nwd5__PaWa137m_1052	q32	PaWa137m	anserina	nwd5	nwd5	1052	11
q25_nwd5__PaTgp_1053	q25	PaTgp	anserina	nwd5	nwd5	1053	1
q33_nwd5__PaTgp_1054	q33	PaTgp	anserina	nwd5	nwd5	1054	2
q15_nwd5__PaTgp_1055	q15	PaTgp	anserina	nwd5	nwd5	1055	3
q34_nwd5__PaTgp_1056	q34	PaTgp	anserina	nwd5	nwd5	1056	4
q33_nwd5__PaTgp_1057	q33	PaTgp	anserina	nwd5	nwd5	1057	5
q15_nwd5__PaTgp_1058	q15	PaTgp	anserina	nwd5	nwd5	1058	6
q35_nwd5__PaTgp_1059	q35	PaTgp	anserina	nwd5	nwd5	1059	7
q15_nwd5__PaTgp_1060	q15	PaTgp	anserina	nwd5	nwd5	1060	8
q36_nwd5__PaTgp_1061	q36	PaTgp	anserina	nwd5	nwd5	1061	9
q13_nwd5__PaTgp_1062	q13	PaTgp	anserina	nwd5	nwd5	1062	10
q7_nwd5__PaYp_1063	q7	PaYp	anserina	nwd5	nwd5	1063	1
q8_nwd5__PaYp_1064	q8	PaYp	anserina	nwd5	nwd5	1064	2
q37_nwd5__PaYp_1065	q37	PaYp	anserina	nwd5	nwd5	1065	3
q8_nwd5__PaYp_1066	q8	PaYp	anserina	nwd5	nwd5	1066	4
q38_nwd5__PaYp_1067	q38	PaYp	anserina	nwd5	nwd5	1067	5
q18_nwd5__PaYp_1068	q18	PaYp	anserina	nwd5	nwd5	1068	6
q30_nwd5__PaZp.R10_1069	q30	PaZp	anserina	nwd5	nwd5	1069	1
q8_nwd5__PaZp.R10_1070	q8	PaZp	anserina	nwd5	nwd5	1070	2
q37_nwd5__PaZp.R10_1071	q37	PaZp	anserina	nwd5	nwd5	1071	3
q8_nwd5__PaZp.R10_1072	q8	PaZp	anserina	nwd5	nwd5	1072	4
q37_nwd5__PaZp.R10_1073	q37	PaZp	anserina	nwd5	nwd5	1073	5
q25_nwd5__PaZp.R10_1074	q25	PaZp	anserina	nwd5	nwd5	1074	6
q31_nwd5__PaZp.R10_1075	q31	PaZp	anserina	nwd5	nwd5	1075	7
q8_nwd5__PaZp.R10_1076	q8	PaZp	anserina	nwd5	nwd5	1076	8
q10_nwd5__PaZp.R10_1077	q10	PaZp	anserina	nwd5	nwd5	1077	9
q13_nwd5__PaZp.R10_1078	q13	PaZp	anserina	nwd5	nwd5	1078	10
q39_nwd5__Podan2_1079	q39	PaSp	anserina	nwd5	nwd5	1079	1
t1_nwd6__PaWa21m_1080	t1	PaWa21m	anserina	nwd6	nwd6	1080	1
t2_nwd6__PaWa21m_1081	t2	PaWa21m	anserina	nwd6	nwd6	1081	2
t3_nwd6__PaWa21m_1082	t3	PaWa21m	anserina	nwd6	nwd6	1082	3
t4_nwd6__PaWa21m_1083	t4	PaWa21m	anserina	nwd6	nwd6	1083	4
t5_nwd6__PaWa21m_1084	t5	PaWa21m	anserina	nwd6	nwd6	1084	5
t6_nwd6__PaWa21m_1085	t6	PaWa21m	anserina	nwd6	nwd6	1085	6
t6_nwd6__PaWa21m_1086	t6	PaWa21m	anserina	nwd6	nwd6	1086	7
t7_nwd6__PaWa28m_1087	t7	PaWa28m	anserina	nwd6	nwd6	1087	1
t8_nwd6__PaWa28m_1088	t8	PaWa28m	anserina	nwd6	nwd6	1088	2
t9_nwd6__PaWa28m_1089	t9	PaWa28m	anserina	nwd6	nwd6	1089	3
t10_nwd6__PaWa28m_1090	t10	PaWa28m	anserina	nwd6	nwd6	1090	4
t7_nwd6__PaWa28m_1091	t7	PaWa28m	anserina	nwd6	nwd6	1091	5
e29_nwd6__PaWa28m_1092	e29	PaWa28m	anserina	nwd6	nwd6	1092	6
t11_nwd6__PaWa28m_1093	t11	PaWa28m	anserina	nwd6	nwd6	1093	7
t12_nwd6__PaWa28m_1094	t12	PaWa28m	anserina	nwd6	nwd6	1094	8
t13_nwd6__PaWa46p_1095	t13	PaWa46p	anserina	nwd6	nwd6	1095	1
t14_nwd6__PaWa46p_1096	t14	PaWa46p	anserina	nwd6	nwd6	1096	2
t15_nwd6__PaWa46p_1097	t15	PaWa46p	anserina	nwd6	nwd6	1097	3
t16_nwd6__PaWa46p_1098	t16	PaWa46p	anserina	nwd6	nwd6	1098	4
t17_nwd6__PaWa46p_1099	t17	PaWa46p	anserina	nwd6	nwd6	1099	5
t18_nwd6__PaWa46p_1100	t18	PaWa46p	anserina	nwd6	nwd6	1100	6
!_nwd6__PaWa53m_1101	!	PaWa53m	anserina	nwd6	nwd6	1101	1
t19_nwd6__PaWa53m_1102	t19	PaWa53m	anserina	nwd6	nwd6	1102	2
t20_nwd6__PaWa53m_1103	t20	PaWa53m	anserina	nwd6	nwd6	1103	3
t21_nwd6__PaWa53m_1104	t21	PaWa53m	anserina	nwd6	nwd6	1104	4
t19_nwd6__PaWa53m_1105	t19	PaWa53m	anserina	nwd6	nwd6	1105	5
t21_nwd6__PaWa53m_1106	t21	PaWa53m	anserina	nwd6	nwd6	1106	6
t22_nwd6__PaWa53m_1107	t22	PaWa53m	anserina	nwd6	nwd6	1107	7
t19_nwd6__PaWa53m_1108	t19	PaWa53m	anserina	nwd6	nwd6	1108	8
t5_nwd6__PaWa53m_1109	t5	PaWa53m	anserina	nwd6	nwd6	1109	9
t7_nwd6__PaWa58m_1110	t7	PaWa58m	anserina	nwd6	nwd6	1110	1
t8_nwd6__PaWa58m_1111	t8	PaWa58m	anserina	nwd6	nwd6	1111	2
t9_nwd6__PaWa58m_1112	t9	PaWa58m	anserina	nwd6	nwd6	1112	3
t10_nwd6__PaWa58m_1113	t10	PaWa58m	anserina	nwd6	nwd6	1113	4
t7_nwd6__PaWa58m_1114	t7	PaWa58m	anserina	nwd6	nwd6	1114	5
t23_nwd6__PaWa58m_1115	t23	PaWa58m	anserina	nwd6	nwd6	1115	6
t10_nwd6__PaWa58m_1116	t10	PaWa58m	anserina	nwd6	nwd6	1116	7
t11_nwd6__PaWa58m_1117	t11	PaWa58m	anserina	nwd6	nwd6	1117	8
t10_nwd6__PaWa58m_1118	t10	PaWa58m	anserina	nwd6	nwd6	1118	9
e28_nwd6__PaWa58m_1119	e28	PaWa58m	anserina	nwd6	nwd6	1119	10
t7_nwd6__PaWa58m_1120	t7	PaWa58m	anserina	nwd6	nwd6	1120	11
t7_nwd6__PaWa63p_1121	t7	PaWa63p	anserina	nwd6	nwd6	1121	1
t8_nwd6__PaWa63p_1122	t8	PaWa63p	anserina	nwd6	nwd6	1122	2
!_nwd6__PaWa63p_1123	!	PaWa63p	anserina	nwd6	nwd6	1123	3
e28_nwd6__PaWa63p_1124	e28	PaWa63p	anserina	nwd6	nwd6	1124	4
t7_nwd6__PaWa63p_1125	t7	PaWa63p	anserina	nwd6	nwd6	1125	5
t23_nwd6__PaWa63p_1126	t23	PaWa63p	anserina	nwd6	nwd6	1126	6
!_nwd6__PaWa63p_1127	!	PaWa63p	anserina	nwd6	nwd6	1127	7
t11_nwd6__PaWa63p_1128	t11	PaWa63p	anserina	nwd6	nwd6	1128	8
t10_nwd6__PaWa63p_1129	t10	PaWa63p	anserina	nwd6	nwd6	1129	9
e28_nwd6__PaWa63p_1130	e28	PaWa63p	anserina	nwd6	nwd6	1130	10
t7_nwd6__PaWa63p_1131	t7	PaWa63p	anserina	nwd6	nwd6	1131	11
t7_nwd6__PaWa87p_1132	t7	PaWa87p	anserina	nwd6	nwd6	1132	1
t23_nwd6__PaWa87p_1133	t23	PaWa87p	anserina	nwd6	nwd6	1133	2
t10_nwd6__PaWa87p_1134	t10	PaWa87p	anserina	nwd6	nwd6	1134	3
t11_nwd6__PaWa87p_1135	t11	PaWa87p	anserina	nwd6	nwd6	1135	4
e29_nwd6__PaWa87p_1136	e29	PaWa87p	anserina	nwd6	nwd6	1136	5
e28_nwd6__PaWa87p_1137	e28	PaWa87p	anserina	nwd6	nwd6	1137	6
t7_nwd6__PaWa87p_1138	t7	PaWa87p	anserina	nwd6	nwd6	1138	7
t7_nwd6__PaWa100p_1139	t7	PaWa100p	anserina	nwd6	nwd6	1139	1
t24_nwd6__PaWa137m_1140	t24	PaWa137m	anserina	nwd6	nwd6	1140	1
t10_nwd6__PaWa137m_1141	t10	PaWa137m	anserina	nwd6	nwd6	1141	2
e28_nwd6__PaWa137m_1142	e28	PaWa137m	anserina	nwd6	nwd6	1142	3
!_nwd6__PaWa137m_1143	!	PaWa137m	anserina	nwd6	nwd6	1143	4
t25_nwd6__PaYp_1144	t25	PaYp	anserina	nwd6	nwd6	1144	1
t26_nwd6__PaYp_1145	t26	PaYp	anserina	nwd6	nwd6	1145	2
t27_nwd6__PaYp_1146	t27	PaYp	anserina	nwd6	nwd6	1146	3
t28_nwd6__PaYp_1147	t28	PaYp	anserina	nwd6	nwd6	1147	4
t21_nwd6__PaYp_1148	t21	PaYp	anserina	nwd6	nwd6	1148	5
t29_nwd6__PaYp_1149	t29	PaYp	anserina	nwd6	nwd6	1149	6
!_nwd6__PaYp_1150	!	PaYp	anserina	nwd6	nwd6	1150	7
t30_nwd6__PaZp.R10_1151	t30	PaZp	anserina	nwd6	nwd6	1151	1
t31_nwd6__PaZp.R10_1152	t31	PaZp	anserina	nwd6	nwd6	1152	2
t23_nwd6__PaZp.R10_1153	t23	PaZp	anserina	nwd6	nwd6	1153	3
t31_nwd6__PaZp.R10_1154	t31	PaZp	anserina	nwd6	nwd6	1154	4
t32_nwd6__PaZp.R10_1155	t32	PaZp	anserina	nwd6	nwd6	1155	5
t10_nwd6__PaZp.R10_1156	t10	PaZp	anserina	nwd6	nwd6	1156	6
t33_nwd6__PaZp.R10_1157	t33	PaZp	anserina	nwd6	nwd6	1157	7
t31_nwd6__PaZp.R10_1158	t31	PaZp	anserina	nwd6	nwd6	1158	8
e29_nwd6__PaZp.R10_1159	e29	PaZp	anserina	nwd6	nwd6	1159	9
e28_nwd6__PaZp.R10_1160	e28	PaZp	anserina	nwd6	nwd6	1160	10
t33_nwd6__PaZp.R10_1161	t33	PaZp	anserina	nwd6	nwd6	1161	11
t7_nwd6__PaTgp_1162	t7	PaTgp	anserina	nwd6	nwd6	1162	1
t11_nwd6__PaTgp_1163	t11	PaTgp	anserina	nwd6	nwd6	1163	2
e28_nwd6__PaTgp_1164	e28	PaTgp	anserina	nwd6	nwd6	1164	3
t7_nwd6__PaTgp_1165	t7	PaTgp	anserina	nwd6	nwd6	1165	4
!_nwd6__Podan2_1166	!	PaSp	anserina	nwd6	nwd6	1166	1
t8_nwd6__Podan2_1167	t8	PaSp	anserina	nwd6	nwd6	1167	2
t9_nwd6__Podan2_1168	t9	PaSp	anserina	nwd6	nwd6	1168	3
e28_nwd6__Podan2_1169	e28	PaSp	anserina	nwd6	nwd6	1169	4
t34_nwd6__Podan2_1170	t34	PaSp	anserina	nwd6	nwd6	1170	5
t10_nwd6__Podan2_1171	t10	PaSp	anserina	nwd6	nwd6	1171	6
!_nwd6__Podan2_1172	!	PaSp	anserina	nwd6	nwd6	1172	7
t24_nwd6__Podan2_1173	t24	PaSp	anserina	nwd6	nwd6	1173	8
!_nwdp-2__PaWa21m_1174	!	PaWa21m	anserina	nwdp-2	nwdp-2	1174	1
u1_nwdp-2__PaWa21m_1175	u1	PaWa21m	anserina	nwdp-2	nwdp-2	1175	2
u2_nwdp-2__PaWa28m_1176	u2	PaWa28m	anserina	nwdp-2	nwdp-2	1176	1
u3_nwdp-2__PaWa28m_1177	u3	PaWa28m	anserina	nwdp-2	nwdp-2	1177	2
!_nwdp-2__PaWa28m_1178	!	PaWa28m	anserina	nwdp-2	nwdp-2	1178	3
u4_nwdp-2__PaWa28m_1179	u4	PaWa28m	anserina	nwdp-2	nwdp-2	1179	4
u5_nwdp-2__PaWa28m_1180	u5	PaWa28m	anserina	nwdp-2	nwdp-2	1180	5
u6_nwdp-2__PaWa28m_1181	u6	PaWa28m	anserina	nwdp-2	nwdp-2	1181	6
u7_nwdp-2__PaWa28m_1182	u7	PaWa28m	anserina	nwdp-2	nwdp-2	1182	7
u5_nwdp-2__PaWa28m_1183	u5	PaWa28m	anserina	nwdp-2	nwdp-2	1183	8
!_nwdp-2__PaWa28m_1184	!	PaWa28m	anserina	nwdp-2	nwdp-2	1184	9
!_nwdp-2__PaWa53m_1185	!	PaWa53m	anserina	nwdp-2	nwdp-2	1185	1
u8_nwdp-2__PaWa53m_1186	u8	PaWa53m	anserina	nwdp-2	nwdp-2	1186	2
u9_nwdp-2__PaWa53m_1187	u9	PaWa53m	anserina	nwdp-2	nwdp-2	1187	3
u10_nwdp-2__PaWa53m_1188	u10	PaWa53m	anserina	nwdp-2	nwdp-2	1188	4
u5_nwdp-2__PaWa53m_1189	u5	PaWa53m	anserina	nwdp-2	nwdp-2	1189	5
!_nwdp-2__PaWa53m_1190	!	PaWa53m	anserina	nwdp-2	nwdp-2	1190	6
!_nwdp-2__PaWa58m_1191	!	PaWa58m	anserina	nwdp-2	nwdp-2	1191	1
u8_nwdp-2__PaWa58m_1192	u8	PaWa58m	anserina	nwdp-2	nwdp-2	1192	2
u4_nwdp-2__PaWa58m_1193	u4	PaWa58m	anserina	nwdp-2	nwdp-2	1193	3
u11_nwdp-2__PaWa58m_1194	u11	PaWa58m	anserina	nwdp-2	nwdp-2	1194	4
u12_nwdp-2__PaWa58m_1195	u12	PaWa58m	anserina	nwdp-2	nwdp-2	1195	5
u10_nwdp-2__PaWa58m_1196	u10	PaWa58m	anserina	nwdp-2	nwdp-2	1196	6
u8_nwdp-2__PaWa58m_1197	u8	PaWa58m	anserina	nwdp-2	nwdp-2	1197	7
u9_nwdp-2__PaWa58m_1198	u9	PaWa58m	anserina	nwdp-2	nwdp-2	1198	8
u7_nwdp-2__PaWa58m_1199	u7	PaWa58m	anserina	nwdp-2	nwdp-2	1199	9
u5_nwdp-2__PaWa58m_1200	u5	PaWa58m	anserina	nwdp-2	nwdp-2	1200	10
!_nwdp-2__PaWa58m_1201	!	PaWa58m	anserina	nwdp-2	nwdp-2	1201	11
!_nwdp-2__PaWa87p_1202	!	PaWa87p	anserina	nwdp-2	nwdp-2	1202	1
u8_nwdp-2__PaWa87p_1203	u8	PaWa87p	anserina	nwdp-2	nwdp-2	1203	2
u4_nwdp-2__PaWa87p_1204	u4	PaWa87p	anserina	nwdp-2	nwdp-2	1204	3
u11_nwdp-2__PaWa87p_1205	u11	PaWa87p	anserina	nwdp-2	nwdp-2	1205	4
u12_nwdp-2__PaWa87p_1206	u12	PaWa87p	anserina	nwdp-2	nwdp-2	1206	5
u10_nwdp-2__PaWa87p_1207	u10	PaWa87p	anserina	nwdp-2	nwdp-2	1207	6
u8_nwdp-2__PaWa87p_1208	u8	PaWa87p	anserina	nwdp-2	nwdp-2	1208	7
u9_nwdp-2__PaWa87p_1209	u9	PaWa87p	anserina	nwdp-2	nwdp-2	1209	8
u7_nwdp-2__PaWa87p_1210	u7	PaWa87p	anserina	nwdp-2	nwdp-2	1210	9
u5_nwdp-2__PaWa87p_1211	u5	PaWa87p	anserina	nwdp-2	nwdp-2	1211	10
!_nwdp-2__PaWa87p_1212	!	PaWa87p	anserina	nwdp-2	nwdp-2	1212	11
!_nwdp-2__PaWa63p_1213	!	PaWa63p	anserina	nwdp-2	nwdp-2	1213	1
u3_nwdp-2__PaWa63p_1214	u3	PaWa63p	anserina	nwdp-2	nwdp-2	1214	2
!_nwdp-2__PaWa63p_1215	!	PaWa63p	anserina	nwdp-2	nwdp-2	1215	3
u3_nwdp-2__PaWa63p_1216	u3	PaWa63p	anserina	nwdp-2	nwdp-2	1216	4
!_nwdp-2__PaWa63p_1217	!	PaWa63p	anserina	nwdp-2	nwdp-2	1217	5
u4_nwdp-2__PaWa63p_1218	u4	PaWa63p	anserina	nwdp-2	nwdp-2	1218	6
u11_nwdp-2__PaWa63p_1219	u11	PaWa63p	anserina	nwdp-2	nwdp-2	1219	7
u12_nwdp-2__PaWa63p_1220	u12	PaWa63p	anserina	nwdp-2	nwdp-2	1220	8
!_nwdp-2__PaWa63p_1221	!	PaWa63p	anserina	nwdp-2	nwdp-2	1221	9
!_nwdp-2__PaWa137m_1222	!	PaWa137m	anserina	nwdp-2	nwdp-2	1222	1
u10_nwdp-2__PaWa137m_1223	u10	PaWa137m	anserina	nwdp-2	nwdp-2	1223	2
u5_nwdp-2__PaWa137m_1224	u5	PaWa137m	anserina	nwdp-2	nwdp-2	1224	3
u6_nwdp-2__PaWa137m_1225	u6	PaWa137m	anserina	nwdp-2	nwdp-2	1225	4
u7_nwdp-2__PaWa137m_1226	u7	PaWa137m	anserina	nwdp-2	nwdp-2	1226	5
u13_nwdp-2__PaWa137m_1227	u13	PaWa137m	anserina	nwdp-2	nwdp-2	1227	6
!_nwdp-2__PaZp.R10_1228	!	PaZp	anserina	nwdp-2	nwdp-2	1228	1
u3_nwdp-2__PaZp.R10_1229	u3	PaZp	anserina	nwdp-2	nwdp-2	1229	2
u10_nwdp-2__PaZp.R10_1230	u10	PaZp	anserina	nwdp-2	nwdp-2	1230	3
u10_nwdp-2__PaZp.R10_1231	u10	PaZp	anserina	nwdp-2	nwdp-2	1231	4
u2_nwdp-2__PaYp_1232	u2	PaYp	anserina	nwdp-2	nwdp-2	1232	1
u3_nwdp-2__PaYp_1233	u3	PaYp	anserina	nwdp-2	nwdp-2	1233	2
!_nwdp-2__PaYp_1234	!	PaYp	anserina	nwdp-2	nwdp-2	1234	3
u14_nwdp-2__PaYp_1235	u14	PaYp	anserina	nwdp-2	nwdp-2	1235	4
u10_nwdp-2__PaYp_1236	u10	PaYp	anserina	nwdp-2	nwdp-2	1236	5
u5_nwdp-2__PaYp_1237	u5	PaYp	anserina	nwdp-2	nwdp-2	1237	6
u6_nwdp-2__PaYp_1238	u6	PaYp	anserina	nwdp-2	nwdp-2	1238	7
u7_nwdp-2__PaYp_1239	u7	PaYp	anserina	nwdp-2	nwdp-2	1239	8
u13_nwdp-2__PaYp_1240	u13	PaYp	anserina	nwdp-2	nwdp-2	1240	9
!_nwdp-2__PaTgp_1241	!	PaTgp	anserina	nwdp-2	nwdp-2	1241	1
u1_nwdp-2__PaTgp_1242	u1	PaTgp	anserina	nwdp-2	nwdp-2	1242	2
